W01,1314
W02,1462
W03,1452
W04,1246
W05,1231
W06,1323
W07,1458
W08,1425
W09,1344
W10,1338
W11a,1276
W11b,1409
W12,1151
W13,1392
W14,1372
W15,1451
W16a,1192
W16b,1195
X01,1438
X02,1277
X03,1428
X04,1235
X05,1345
X06,1371
X07,1173
X08,1403
X09,1139
X10,1393
X11,1211
X12,1114
X13,1233
X14,1201
X15,1292
X16,1214
Y01,1242
Y02,1437
Y03,1274
Y04,1143
Y05,1268
Y06,1112
Y07,1234
Y08,1160
Y09,1163
Y10,1396
Y11a,1435
Y11b,1455
Y12,1355
Y13,1218
Y14,1138
Y15,1421
Y16,1122
Z01,1332
Z02,1328
Z03,1401
Z04,1181
Z05,1124
Z06,1400
Z07,1333
Z08,1386
Z09,1153
Z10,1433
Z11,1320
Z12,1463
Z13,1423
Z14,1453
Z15,1167
Z16a,1221
Z16b,1380
